word,clue
dance,a series of movements and steps that are usually performed to music; a particular example of these movements and steps
dancer,a person who dances or whose job is dancing
dancing,moving your body to music
danger,"the possibility of something happening that will injure, harm or kill somebody, or damage or destroy something"
dangerous,"likely to injure or harm somebody, or to damage or destroy something"
dare,to be brave enough to do something
dark,"with no or very little light, especially because it is night"
darkness,"the state of being dark, without any light"
data,"facts or information, especially when examined and used to find out things or to make decisions"
database,an organized set of data that is stored in a computer and can be looked at and used in various ways
date,"a particular day of the month, sometimes in a particular year, given in numbers and words"
daughter,a person’s female child
dawn,the time of day when light first appears
day,a period of 24 hours
dead,no longer alive
deadline,a point in time by which something must be done
deadly,causing or likely to cause death
deal,"an agreement, especially in business, on particular conditions for buying or doing something"
dealer,a person whose business is buying and selling a particular product
dear,used at the beginning of a letter before the name or title of the person that you are writing to
death,the fact of somebody dying or being killed
debate,a formal discussion of an issue at a public meeting or in a parliament. In a debate two or more speakers express opposite views and then there is often a vote on the issue.
debris,"pieces of wood, metal, building materials, etc. that are left after something has been destroyed"
debt,a sum of money that somebody owes
debut,the first public appearance of a performer or sports player
decade,"a period of ten years, especially a continuous period, such as 1910–1919 or 2000–2009"
December,the 12th and last month of the year
decent,of a good enough standard or quality
decide,to think carefully about the different possibilities that are available and choose one of them
decision,a choice or judgement that you make after thinking and talking about what is the best thing to do
decision-making,"the process of deciding about something important, especially in a group of people or in an organization"
decisive,very important for the final result of a particular situation
deck,the top outside floor of a ship or boat
declaration,"an official or formal statement, especially about the plans of a government or an organization; the act of making such a statement"
declare,to say something officially or publicly
decline,"a continuous decrease in the number, value, quality, etc. of something"
decorate,to make something look more attractive by putting things on it
decoration,a thing that makes something look more attractive on special occasions
decrease,the process of reducing something; the amount that something is reduced by
dedicated,working hard at something because it is very important to you
dedication,the hard work and effort that somebody puts into an activity or a purpose because they think it is important
deed,a thing that somebody does that is usually very good or very bad
deem,to have a particular opinion about somebody/something
deep,having a large distance from the top or surface to the bottom
deeply,very; very much
default,"what happens or appears if you do not make any other choice or change, especially in a computer program"
defeat,failure to win or to be successful
defect,a fault in something or in the way it has been made that means that it is not perfect
defence,"the act of protecting somebody/something from attack, criticism, etc."
defend,to protect somebody/something from attack
defender,"a player who must stop the other team from scoring in games such as football (soccer), hockey, etc."
defensive,protecting somebody/something against attack
deficiency,"the state of not having, or not having enough of, something that is essential"
deficit,the amount by which money spent or owed is greater than money earned in a particular period of time
define,to say or explain what the meaning of a word or phrase is
definite,sure or certain; unlikely to change
definitely,a way of emphasizing that something is true and that there is no doubt about it
definition,"an explanation of the meaning of a word or phrase, especially in a dictionary"
defy,"to refuse to obey or show respect for somebody in authority, a law, a rule, etc."
degree,a unit for measuring temperature
delay,a period of time when somebody/something has to wait because of a problem that makes something slow or late
delegate,a person who is chosen or elected to represent the views of a group of people and vote and make decisions for them
delegation,"a group of people who represent the views of an organization, a country, etc."
delete,"to remove something that has been written or printed, or that has been stored on a computer"
deliberate,done on purpose rather than by accident
deliberately,"done in a way that was planned, not by chance"
delicate,easily damaged or broken
delicious,having a very pleasant taste or smell
delight,a feeling of great pleasure
delighted,very pleased
deliver,"to take goods, letters, etc. to the person or people they have been sent to"
delivery,"the act of taking goods, letters, etc. to the people they have been sent to"
demand,a very strong request for something; something that somebody needs
democracy,a system of government in which the people of a country can vote to elect their representatives
democratic,controlled by representatives who are elected by the people of a country; connected with this system
demon,an evil spirit
demonstrate,to show something clearly by giving proof or evidence
demonstration,a public meeting or a march (= an organized walk by many people) at which people show that they are protesting against or supporting somebody/something
denial,a statement that something is not true or does not exist; the action of denying something
denounce,"to strongly criticize somebody/something that you think is wrong, illegal, etc."
dense,"containing a lot of people, things, plants, etc. with little space between them"
density,the quality of being dense; the degree to which something is dense
dentist,a person whose job is to take care of people’s teeth
deny,to say that something is not true
depart,"to leave a place, especially to start a trip"
department,"a section of a large organization such as a government, business, university, etc."
departure,an act of leaving a place
depend,according to
dependence,the state of needing the help and support of somebody/something in order to survive or be successful
dependent,needing somebody/something in order to survive or be successful
depict,to show an image of somebody/something in a picture
deploy,to move soldiers or weapons into a position where they are ready for military action
deployment,the act of moving soldiers or weapons into a position where they are ready for military action
deposit,a sum of money that is given as the first part of a larger payment
depressed,very sad and without hope
depressing,making you feel very sad and without enthusiasm
depression,"a medical condition in which a person feels very sad, anxious and without hope and often has physical symptoms such as being unable to sleep, etc."
depth,the distance from the top or surface to the bottom of something; a particular distance down from the surface of something
deputy,"a person who is the next most important person below a business manager, a head of a school, a political leader, etc. and who does that person’s job when they are away"
descend,to come or go down from a higher to a lower level
descent,an action of coming or going down
describe,to say what somebody/something is like
description,a piece of writing or speech that says what somebody/something is like; the act of writing or saying in words what somebody/something is like
desert,a large area of land that has very little water and very few plants growing on it. Many deserts are covered by sand.
deserve,"to do something or show qualities that mean a particular reaction, reward or punishment is appropriate"
design,"the general arrangement of the different parts of something that is made, such as a building, book, machine, etc."
designate,to say officially that somebody/something has a particular character or name; to describe somebody/something in a particular way
designer,"a person whose job is to decide how things such as clothes, furniture, tools, etc. will look or work by making drawings, plans or patterns"
desirable,that you would like to have or do; worth having or doing
desire,a strong wish to have or do something
desk,"a piece of furniture like a table, often with drawers (= parts like boxes in it with handles on the front for pulling them open), that you sit at to read, write, work, etc."
desktop,a screen on a computer that shows the icons of programs and files that can be used
desperate,feeling or showing that you have little hope and are ready to do anything without worrying about danger to yourself or others
desperately,in a way that shows you have little hope and are ready to do anything without worrying about danger to yourself or others
despite,used to show that something happened or is true although something else might have happened to prevent it
destination,a place to which somebody/something is going or being sent
destroy,"to damage something so badly that it no longer exists, works, etc."
destruction,the act of destroying something; the process of being destroyed
destructive,causing destruction or damage
detail,a small individual fact or item; a less important fact or item
detailed,giving many details and a lot of information; paying great attention to details
detain,"to keep somebody in an official place, such as a police station, a prison or a hospital, and prevent them from leaving"
detect,"to discover or notice something, especially something that is not easy to see, hear, etc."
detection,"the process of discovering or noticing something, especially something that is not easy to see, hear, etc.; the fact of being discovered or noticed"
detective,"a person, especially a police officer, whose job is to investigate crimes and catch criminals"
detention,"the state of being kept in a place, especially a prison, and prevented from leaving"
deteriorate,to become worse
determination,the quality that makes you continue trying to do something even when this is difficult
determine,to discover the facts about something; to calculate something exactly
determined,having made a definite decision to do something and not letting anyone prevent you
devastate,to completely destroy a place or an area
develop,"to gradually grow or become bigger, more advanced, stronger, etc.; to make something do this"
development,"the steady growth of something so that it becomes more advanced, stronger, etc."
device,an object or a piece of equipment that has been designed to do a particular job
devil,the most powerful evil being
devise,to invent something new or a new way of doing something
diagnose,to say exactly what an illness or the cause of a problem is
diagnosis,the act of discovering or identifying the exact cause of an illness or a problem
diagram,"a simple drawing using lines to explain where something is, how something works, etc."
dialogue,"a conversation in a book, play or film or in language teaching materials"
diamond,"a clear precious stone of pure carbon, the hardest substance known. Diamonds are used in jewellery and also in industry, especially for cutting glass."
diary,"a book in which you can write down the experiences you have each day, your private thoughts, etc."
dictate,"to tell somebody what to do, especially in an annoying way"
dictator,"a political leader who has complete power over a country, especially one who has gained it using military force"
dictionary,"a book or electronic resource that gives a list of the words of a language in alphabetical order and explains what they mean, or gives a word for them in a foreign language"
die,to stop living
diet,the food and drink that you eat and drink regularly
differ,to be different from somebody/something
difference,the way in which two people or things are not like each other; the way in which somebody/something has changed
different,not the same as somebody/something; not like somebody/something else
differentiate,to recognize or show that two things are not the same
differently,in a different way from somebody/something
difficult,not easy; needing effort or skill to do or to understand
difficulty,a problem; a thing or situation that causes problems
dig,"to make a hole in the ground or to move soil from one place to another using your hands, a tool or a machine"
digital,"using a system of receiving and sending information as a series of the numbers one and zero, showing that an electronic signal is there or is not there"
dignity,a calm and serious manner that deserves respect
dilemma,"a situation that makes problems, often one in which you have to make a very difficult choice between things of equal importance"
dimension,"a measurement in space, for example how high, wide or long something is"
diminish,"to become smaller, weaker, etc.; to make something become smaller, weaker, etc."
dinner,"the main meal of the day, eaten either in the middle of the day or in the evening"
dip,to put something quickly into a liquid and take it out again
diplomat,"a person whose job is to represent his or her country in a foreign country, for example, in an embassy"
diplomatic,connected with managing relations between countries (= diplomacy)
direct,going in the straightest line between two places without stopping or changing direction
direction,the general position a person or thing moves or points towards
directly,without stopping or changing direction
director,one of a group of senior managers who run a company
directory,"a book or electronic resource containing lists of information, usually in alphabetical order, for example people’s phone numbers or the names and addresses of businesses in a particular area"
dirt,"any substance that makes something dirty, for example dust, soil or mud"
dirty,not clean
disability,a physical or mental condition that makes it difficult for somebody to do some things that most other people can do
disabled,having a condition that makes it difficult for you to do some things that most other people can do
disadvantage,something that causes problems and tends to stop somebody/something from succeeding or making progress
disagree,"if two people disagree or one person disagrees with another about something, they have a different opinion about it"
disagreement,a situation where people have different opinions about something and often argue
disappear,to become impossible to see
disappoint,to make somebody feel sad because something that they hope for or expect to happen does not happen or is not as good as they hoped
disappointed,"upset because something you hoped for has not happened or been as good, successful, etc. as you expected"
disappointing,"not as good, successful, etc. as you had hoped; making you feel disappointed"
disappointment,"the feeling of being sad because something has not happened or been as good, successful, etc. as you expected or hoped"
disaster,"an unexpected event, such as a very bad accident, a flood or a fire, that kills a lot of people or causes a lot of damage"
disastrous,"very bad, harmful or unsuccessful"
disc,a thin flat round object
discard,to get rid of something that you no longer want or need
discharge,to give somebody official permission to leave the police or the armed forces; to make somebody leave the police or the armed forces
discipline,the practice of training people to obey rules and orders and punishing them if they do not; the controlled behaviour or situation that is the result of this training
disclose,"to give somebody information about something, especially something that was previously secret"
disclosure,the act of making something known or public that was previously secret or private
discount,an amount of money that is taken off the usual cost of something
discourage,"to try to prevent something or to prevent somebody from doing something, especially by making it difficult to do or by showing that you do not approve of it"
discourse,a long and serious treatment or discussion of a subject in speech or writing
discover,to be the first person to become aware that a particular place or thing exists
discovery,"an act or the process of finding somebody/something, or learning about something that was not known about before"
discretion,the freedom or power to decide what should be done in a particular situation
discrimination,the practice of treating somebody or a particular group in society less fairly than others
discuss,"to talk about something with somebody, especially in order to decide something"
discussion,a conversation about somebody/something; the process of discussing somebody/something
disease,"an illness affecting humans, animals or plants, often caused by infection"
dish,a flat shallow container for cooking food in or serving it from
dishonest,not honest; intending to trick people
disk,a thin flat round object
dislike,a feeling of not liking somebody/something
dismiss,to decide that somebody/something is not important and not worth thinking or talking about
dismissal,the act of dismissing somebody from their job; an example of this
disorder,a condition or illness that causes problems with the way part of the body or brain works
displace,to take the place of somebody/something
display,an arrangement of things in a public place to inform or entertain people or advertise something for sale
disposal,the act of getting rid of something
dispose,to arrange things or people in a particular way or position
dispute,"an argument between two people, groups or countries; discussion about a subject on which people disagree"
disrupt,to make it difficult for something to continue in the normal way
disruption,a situation in which it is difficult for something to continue in the normal way; the act of stopping something from continuing in the normal way
dissolve,to mix with a liquid and become part of it
distance,the amount of space between two places or things
distant,far away in space or time
distinct,"easily or clearly heard, seen, felt, etc."
distinction,a clear difference or contrast especially between people or things that are similar or related
distinctive,having a quality or characteristic that makes something different and easily noticed
distinguish,to recognize the difference between two people or things
distort,"to change the shape, appearance or sound of something so that it is strange or not clear"
distract,to take somebody’s attention away from what they are trying to do
distress,a feeling of great worry or unhappiness; great mental pain
distribute,to give things to a large number of people; to share something between a number of people
distribution,the way that something is spread or exists over a particular area or among a particular group of people
district,"an area of a country or town, especially one that has particular features"
disturb,"to interrupt somebody when they are trying to work, sleep, etc."
disturbing,making you feel anxious and upset or shocked
dive,a jump into deep water with your head first and your arms in front of you
diverse,very different from each other and of various kinds
diversity,a range of many people or things that are very different from each other
divert,to make somebody/something change direction
divide,a difference between two groups of people or two things that separates them from each other
divine,coming from or connected with God or a god
division,the process or result of dividing into separate parts; the process or result of dividing something or sharing it out
divorce,the legal ending of a marriage
divorced,no longer married because your marriage has been legally ended
do,used to refer to actions that you do not mention by name or do not know about
doctor,"a person who has been trained in medical science, whose job is to treat people who are ill or injured"
doctrine,"a belief or set of beliefs held and taught by a Church, a political party, etc."
document,"an official paper, book or electronic file that gives information about something, or that can be used as evidence or proof of something"
documentary,a film or a radio or television programme giving facts about something
documentation,"the documents that are required for something, or that give evidence or proof of something"
dog,"an animal with four legs and a tail, often kept as a pet or trained for work, for example hunting or guarding buildings. There are many types of dog, some of which are wild."
dollar,"the unit of money in the US, Canada, Australia and several other countries"
domain,an area of knowledge or activity; especially one that somebody is responsible for
domestic,of or inside a particular country; not foreign or international
dominance,"the fact of being more important, powerful or easy to notice than somebody/something else"
dominant,"more important, powerful or easy to notice than other things"
dominate,"to control or have a lot of influence over somebody/something, especially in an unpleasant way"
donate,"to give money, food, clothes, etc. to somebody/something, especially a charity"
donation,"something that is given to a person or an organization such as a charity, in order to help them; the act of giving something in this way"
donor,"a person or an organization that makes a gift of money, clothes, food, etc. to a charity, etc."
door,"a piece of wood, glass, etc. that is opened and closed so that people can get in and out of a room, building, car, etc.; a similar thing in a cupboard"
dose,"an amount of a medicine or a drug that is taken once, or regularly over a period of time"
dot,"a small round mark, especially one that is printed"
double,twice as much or as many as usual
doubt,a feeling of being uncertain about something or not believing something
down,to or at a lower place or position
download,data that is downloaded from another computer system
downstairs,"on a floor of a house or building lower than the one you are on, especially the one at ground level"
downtown,"in, towards or typical of the centre of a city, especially its main business area"
downwards,towards the ground; towards a lower place or position
dozen,a group of twelve of the same thing
draft,a rough written version of something that is not yet in its final form
drag,to pull somebody/something along with effort and difficulty
drain,to make something empty or dry by removing the liquid from it; to become empty or dry in this way
drama,"a play for the theatre, television or radio"
dramatic,"sudden, very great and often surprising"
dramatically,very suddenly and to a very great and often surprising degree
draw,"to make pictures, or a picture of something, with a pencil, pen or chalk (but not paint)"
drawing,a picture made using a pencil or pen rather than paint
dream,"a series of images, events and feelings that happen in your mind while you are asleep"
dress,"a piece of clothing that is made in one piece and hangs down to cover the body as far as the legs, sometimes reaching to below the knees, or to the ankles"
dressed,wearing clothes and not naked or wearing clothes for sleeping
drift,to move along smoothly and slowly in water or air
drink,a liquid for drinking; an amount of a liquid that you drink
drive,a journey in a car or other vehicle
driver,a person who drives a vehicle
driving,strong and powerful; having a strong influence in making something happen
drop,a very small amount of liquid that forms a round shape
drought,a long period of time when there is little or no rain
drown,to die because you have been underwater too long and you cannot breathe; to kill somebody by holding them underwater
drug,"an illegal substance that some people smoke, inject, etc. for the physical and mental effects it has"
drum,a musical instrument made of a hollow round frame with plastic or skin stretched tightly across one or both ends. You play it by hitting it with sticks or with your hands.
drunk,having drunk so much alcohol that it is impossible to think or speak clearly
dry,not wet or sticky; without water or moisture
dual,having two parts or aspects
dub,"to give somebody/something a particular name, often in a humorous or critical way"
due,caused by somebody/something; because of somebody/something
dull,not interesting or exciting
dump,"to get rid of something you do not want, especially in a place that is not suitable"
duo,two people who perform together or are often seen or thought of together
duration,the length of time that something lasts or continues
during,all through a period of time
dust,"a fine powder that consists of very small pieces of sand, earth, etc."
duty,something that you feel you have to do because it is your moral or legal responsibility
DVD,"a disk on which large amounts of information, especially films, photographs and video, can be stored, for use on a DVD player or computer (the abbreviation for ‘digital versatile disc’ or ‘digital videodisc’)"
dynamic,having a lot of energy and a strong personality
each,"used to refer to every one of two or more people or things, when you are thinking about them separately"
eager,very interested and excited by something that is going to happen or about something that you want to do; showing this
ear,either of the organs on the sides of the head that you hear with
early,"near the beginning of a period of time, an event etc."
earn,to get money for work that you do
earnings,the money that you earn for the work that you do
earth,the world; the planet that we live on
earthquake,"a sudden, violent shaking of the earth’s surface"
ease,lack of difficulty
easily,without problems or difficulty
east,in or towards the east
eastern,located in the east or facing east
easy,not difficult; done or obtained without a lot of effort or problems
eat,"to put food in your mouth, bite it and swallow it"
echo,the reflecting of sound off a wall or inside a particular space so that a noise appears to be repeated; a sound that is reflected back in this way
ecological,connected with the relation of plants and living creatures to each other and to their environment
economic,"connected with the trade, industry and development of wealth of a country, an area or a society"
economics,"the study of how a society organizes its money, trade and industry"
economist,a person who studies or writes about economics
economy,"the relationship between production, trade and the supply of money in a particular country or region"
edge,"the outside limit of an object, a surface or an area; the part furthest from the centre"
edit,"to prepare a piece of writing, a book, etc. to be published by correcting the mistakes, making improvements to it, etc."
edition,"the form in which a book, newspaper, etc. is published"
editor,"a person who is in charge of a newspaper, magazine, etc., or part of one, and who decides what should be included"
editorial,"connected with the task of preparing something such as a newspaper, a book or a television or radio programme, to be published or broadcast"
educate,"to teach somebody over a period of time at a school, university, etc."
educated,"having had the kind of education mentioned; having been to the school, college or university mentioned"
education,"a process of teaching, training and learning, especially in schools, colleges or universities, to improve knowledge and develop skills"
educational,connected with education
educator,a person whose job is to teach or educate people
effect,a change that somebody/something causes in somebody/something else; a result
effective,producing the result that is wanted or intended; producing a successful result
effectively,in a way that produces the intended result or a successful result
effectiveness,the fact of producing the result that is wanted or intended; the fact of producing a successful result
efficiency,the quality of doing something well with no waste of time or money
efficient,"doing something in a good, careful and complete way with no waste of time, money or energy"
efficiently,"in a good and careful way, with no waste of time, money or energy"
effort,an attempt to do something especially when it is difficult to do
egg,"a small oval object with a thin hard shell produced by a female bird and containing a young bird; a similar object (without a hard shell) produced by a female fish, insect, etc."
ego,your sense of your own value and importance
either,used after negative phrases to state that a feeling or situation is similar to one already mentioned
elaborate,very complicated and detailed; carefully prepared and organized
elbow,the joint between the upper and lower parts of the arm where it bends in the middle
elderly,used as a polite word for ‘old’
elect,to choose somebody to do a particular job by voting for them
election,"the process of choosing a person or a group of people for a position, especially a political position, by voting"
electoral,connected with elections
electric,"connected with electricity; using, produced by or producing electricity"
electrical,connected with electricity; using or producing electricity
electricity,"a form of energy from charged elementary particles, usually supplied as electric current through cables, wires, etc. for lighting, heating, driving machines, etc."
electronic,"having or using many small parts, such as microchips, that control and direct a small electric current"
electronics,the branch of science and technology that studies electric currents in electronic equipment
elegant,attractive and showing a good sense of style
element,a necessary or typical part of something; one of several parts that something contains
elementary,in or connected with the first stages of a course of study
elephant,"a very large animal with thick grey skin, large ears, two curved outer teeth called tusks and a long nose called a trunk. There are two types of elephant, the African and the Asian."
elevate,"to give somebody/something a higher position or rank, often more important than they deserve"
eleven,11
eligible,"a person who is eligible for something or to do something, is able to have or do it because they have the right qualifications, are the right age, etc."
eliminate,to remove or get rid of something
elite,"a small group of people in a society, etc. who are powerful and have a lot of influence, because they are rich, intelligent, etc."
else,in addition to something already mentioned
elsewhere,"in, at or to another place or other places"
email,a way of sending messages and data to other people by means of computers connected together in a network
embark,to get onto a ship or plane; to put somebody/something onto a ship or plane
embarrassed,"shy, uncomfortable or ashamed, especially in a social situation"
embarrassing,"making you feel shy, uncomfortable or ashamed"
embarrassment,"shy, uncomfortable or guilty feelings; a feeling of being embarrassed"
embassy,a group of officials led by an ambassador who represent their government in a foreign country
embed,to fix something in a substance or solid object
embody,to express or represent an idea or a quality
embrace,to put your arms around somebody as a sign of love or friendship
emerge,to move out of or away from something and become possible to see
emergence,the fact of somebody/something moving out of or away from something and becoming possible to see
emergency,a sudden serious and dangerous event or situation that needs immediate action to deal with it
emission,"the production or sending out of light, heat, gas, etc."
emotion,"a strong feeling such as love, fear or anger; the part of a person’s character that consists of feelings"
emotional,connected with people’s feelings (= with the emotions)
emotionally,in a way that is connected with people's feelings (= with the emotions)
emphasis,special importance that is given to something
emphasize,to give special importance to something
empire,a group of countries or states that are controlled by one leader or government
empirical,based on experiments or experience rather than ideas or theories
employ,to give somebody a job to do for payment
employee,a person who is paid to work for somebody
employer,a person or company that pays people to work for them
employment,"work, especially when it is done to earn money; the state of being employed"
empower,to give somebody the power or authority to do something
empty,with no people or things inside
enable,to make it possible for somebody/something to do something
enact,to pass a law
encompass,to include a large number or range of things
encounter,"a meeting, especially one that is sudden, unexpected or violent"
encourage,"to give somebody support, courage or hope"
encouragement,the act of encouraging somebody to do something; something that encourages somebody
encouraging,"that gives somebody support, courage or hope"
end,"the final part of a period of time, an event, an activity or a story"
endeavour,"an attempt to do something, especially something new or difficult"
ending,"the last part of a story, film, etc."
endless,very large in size or amount and seeming to have no end
endorse,"to say publicly that you support a person, statement or course of action"
endorsement,a public statement or action showing that you support somebody/something
endure,to experience and deal with something that is painful or unpleasant without giving up
enemy,a person who hates somebody or who acts or speaks against somebody/something
energy,"the strength, effort and enthusiasm required for physical or mental activity, work, etc."
enforce,to make sure that people obey a particular law or rule
enforcement,the act of making people obey a particular law or rule
engage,to succeed in attracting and keeping somebody’s attention and interest
engaged,having agreed to marry somebody
engagement,an agreement to marry somebody; the period during which two people are engaged
engaging,interesting or pleasant in a way that attracts your attention
engine,the part of a vehicle that produces power to make the vehicle move
engineer,"a person whose job involves designing and building engines, machines, roads, bridges, etc."
engineering,"the activity of applying scientific knowledge to the design, building and control of machines, roads, bridges, electrical equipment, etc."
enhance,"to increase or further improve the good quality, value or status of somebody/something"
enjoy,to get pleasure from something
enjoyable,giving pleasure
enormous,extremely large
enough,to the necessary degree
enquire,to ask somebody for some information
enquiry,an official process to find out the cause of something or to find out information about something
enrich,"to improve the quality of something, often by adding something to it"
enrol,"to arrange for yourself or for somebody else to officially join a course, school, etc."
ensue,to happen after or as a result of another event
ensure,to make sure that something happens or is definite
enter,to come or go into something
enterprise,a company or business
entertain,to interest somebody or make somebody laugh in order to please them
entertaining,"that you enjoy watching, listening to, doing or experiencing"
entertainment,"films, music, etc. used to entertain people; an example of this"
enthusiasm,a strong feeling of excitement and interest in something and a desire to become involved in it
enthusiast,a person who is very interested in something and spends a lot of time doing it
enthusiastic,feeling or showing a lot of excitement and interest about somebody/something
entire,"including everything, everyone or every part"
entirely,in every way possible; completely
entitle,to give somebody the right to have or to do something
entity,something that exists separately from other things and has its own identity
entrance,"a door, gate, passage, etc. used for entering a room, building or place"
entrepreneur,"a person who makes money by starting or running businesses, especially when this involves taking financial risks"
entry,an act of going into or getting into a place
envelope,"a flat paper container used for sending letters in, with a part that you stick down to close it"
environment,"the natural world in which people, animals and plants live"
environmental,"connected with the natural conditions in which people, animals and plants live; connected with the environment"
epidemic,a large number of cases of a particular disease or medical condition happening at the same time in a particular community
episode,one part of a story that is broadcast on television or radio in several parts
equal,"the same in size, quantity, value, etc. as something else"
equality,"the fact of being equal in rights, status, advantages, etc."
equally,to the same degree; in the same or in a similar way
equation,"a statement showing that two amounts or values are equal, for example 2x + y = 54"
equip,to provide yourself/somebody/something with the things that are needed for a particular purpose or activity
equipment,the things that are needed for a particular purpose or activity
equivalent,"equal in value, amount, meaning, importance, etc."
era,"a period of time, usually in history, that is different from other periods because of particular characteristics or events"
erect,to build something
error,"a mistake, especially one that causes problems or affects the result of something"
erupt,"when a volcano erupts or burning rocks, smoke, etc. erupt or are erupted, the burning rocks, etc. are thrown out from the volcano"
escalate,"to become greater, worse, more serious, etc.; to make something greater, worse, more serious, etc."
escape,the act or a method of escaping from a place or an unpleasant or dangerous situation
especially,"more with one person, thing, etc. than with others, or more in particular circumstances than in others"
essay,a short piece of writing by a student as part of a course of study
essence,"the most important quality or feature of something, that makes it what it is"
essential,completely necessary; extremely important in a particular situation or for a particular activity
essentially,"when you think about the true, important or basic nature of somebody/something"
establish,"to start or create an organization, a system, etc. that is meant to last for a long time"
establishment,"an organization, a large institution or a hotel"
estate,an area of land with a lot of houses or factories of the same type on it
estimate,"a judgement that you make without having the exact details or figures about the size, amount, cost, etc. of something"
eternal,without an end; existing or continuing forever
ethic,moral principles that control or influence a person’s behaviour
ethical,connected with beliefs and principles about what is right and wrong
ethnic,connected with or belonging to a group of people that share a cultural tradition
euro,the unit of money of some countries of the European Union
evacuate,to move people from a place of danger to a safer place
evaluate,"to form an opinion of the amount, value or quality of something after thinking about it carefully"
evaluation,"the act of forming an opinion of the amount, value or quality of something after thinking about it carefully"
even,that can be divided exactly by two
evening,the part of the day between the afternoon and the time you go to bed
event,"a thing that happens, especially something important"
eventually,at the end of a period of time or a series of events
ever,"used in negative sentences and questions, or sentences with if to mean ‘at any time’"
every,used with singular nouns to refer to all the members of a group of things or people
everybody,every person; all people
everyday,used or happening every day or regularly; ordinary
everyone,every person; all people
everything,all things
everywhere,"in, to or at every place; all places"
evidence,"the facts, signs or objects that make you believe that something is true"
evident,clear; easily seen
evil,enjoying harming others; morally bad and cruel
evoke,"to bring a feeling, a memory or an image into your mind"
evolution,"the slow steady development of plants, animals, etc. during the history of the earth, as they adapt to changes in their environment"
evolutionary,connected with evolution; connected with slow steady development and change
evolve,"to develop gradually, especially from a simple to a more complicated form; to develop something in this way"
exact,correct in every detail
exactly,used to emphasize that something is correct in every way or in every detail
exaggerate,"to make something seem larger, better, worse or more important than it really is"
exam,"a formal written, spoken or practical test, especially at school or college, to see how much you know about a subject, or what you can do"
examination,"a formal written, spoken or practical test, especially at school or college, to see how much you know about a subject, or what you can do"
examine,"to consider or study an idea, a subject, etc. very carefully"
example,"something such as an object, a fact or a situation that shows, explains or supports what you say"
exceed,to be greater than a particular number or amount
excellence,the quality of being extremely good
excellent,extremely good
except,used before you mention something that makes a statement not completely true
exception,a person or thing that is not included in a general statement
exceptional,unusually good
excess,"in addition to an amount that is necessary, usual or legal"
excessive,greater than what seems reasonable or appropriate
exchange,an act of giving something to somebody or doing something for somebody and receiving something in return
excited,feeling or showing happiness and enthusiasm
excitement,the state of feeling or showing happiness and enthusiasm
exciting,causing great interest or excitement
exclude,to deliberately not include something in what you are doing or considering
exclusion,the act of preventing somebody/something from entering a place or taking part in something
exclusive,only to be used by one particular person or group; only given to one particular person or group
exclusively,"for only one particular person, group or use"
excuse,"a reason, either true or invented, that you give to explain or defend your behaviour"
execute,"to kill somebody, especially as a legal punishment"
execution,"the act of killing somebody, especially as a legal punishment"
executive,"connected with managing a business or an organization, and with making plans and decisions"
exercise,physical or mental activity that you do to stay healthy or become stronger
exert,to use power or influence to affect somebody/something
exhibit,"an object or a collection of objects put in a public place, for example a museum, so that people can see it"
exhibition,"a collection of things, for example works of art, that are shown to the public"
exile,"the state of being sent to live in another country that is not your own, especially for political reasons or as a punishment"
exist,to be real; to be present in a place or situation
existence,the state or fact of being real or living or of being present
exit,a way out of a public building or vehicle
exotic,"from or in another country, especially a tropical one; seeming exciting and unusual because it seems to be connected with foreign countries"
expand,"to become greater in size, number or importance; to make something greater in size, number or importance"
expansion,"an act of increasing or making something increase in size, amount or importance"
expect,to think or believe that something will happen or that somebody will do something
expectation,a belief that something will happen because it is likely
expected,that you think will happen
expedition,"an organized journey with a particular purpose, especially to find out about a place that is not well known"
expenditure,the act of spending or using money; an amount of money spent
expense,the money that you spend on something
expensive,costing a lot of money
experience,the knowledge and skill that you have gained through doing something for a period of time; the process of gaining this
experienced,having knowledge or skill in a particular job or activity
experiment,a scientific test that is done in order to study what happens and to gain new knowledge
experimental,"based on new ideas, forms or methods that are used to find out what effect they have"
expert,"done with, having or involving great knowledge or skill"
expertise,"expert knowledge or skill in a particular subject, activity or job"
expire,to be no longer legally acceptable because the period of time for which it could be used has ended
explain,to tell somebody about something in a way that makes it easy to understand
